statement_id,text,completion
50,"A lot has changed because I am now able to conserve more to eat, and over come difficulties furthermore we eat a variety of foods. Yes I am now able to have three meals per day like; bread, milk for my kids who go to school without difficulties because I earn some money. Yes, I eat meat, chicken, butter milk, because I can now afford to eat what I want, all to improve my family's health. Yes, it has changed because I have not suffered because I would sell to those who didn't have food It has changed, because I would previously place it in a cellar but now I have an appropriate place to store in town because its the closest business place close to our homes. Yes, it has changed because we now eat how ever we want and I go to the village and buy what I want. I  do not produce but I am no longer hungry as we have other farms.","Income_Ability to buy food
Ability to buy food_Food consumption quantity
Food consumption quantity_Able to send children to school
Food consumption quantity_Improved health"
52,"It has increase as I have various methods of farming, I now use tractors, fertilizers, and pumps to irrigate and this has resulted in a change in my life.","Improved/new farming techniques; Use water pump_Produced enough food to eat and/or sell
Produced enough food to eat and/or sell_Food consumption quantity"
54,"Yes, we have a variety. We have carrots, beet, vegetables, cabbage, onions, and beans. I am one of the best farmers in the community.","Improved/new farming techniques; Use water pump_Produced enough food to eat and/or sell
Produced enough food to eat and/or sell_Diet improved; Diversified"
57,"Yes, it has changed because we previously never had a lot but we now have more to guarantee our lives, we eat and sell well. Yes, eating habits because we have no children's. I think every child has to drink breast milk for a period of six months, post the six months they should be fed other foods and I realised this when my daughter was here. This is a good feeding habit for kids but in my case there were no kids present. When my wife was pregnant, she had no eating problems. The are no taboos, life has changed for the better. My wife did not eat eggs when she was pregnant and she would have sick babies. Along with the help of Organisation 1 regardless of the fact that I had no little kids but I had a lot, my daughter in law did not have these problems. These changes are very good, because kids grow very well.","Increased knowledge; Nutrition_Broken taboo
Broken taboo_Diet improved; Diversified refers:Pregnancy"
62,"It has changed as I now deposit my money into Bank A and the other Bank B. We now have money, and this all changed when I increased on my production. We no longer buy food, good clothes and pay boarding school for my kids education. My wife and I get along very and we share authority within our house hold. Organisation 1 teaches us how to get along with women in our homes. We save money by the proposed means which is through Bank A and Bank B in the savings group, because this could serve us well in the near future. Yes, I borrowed some money in the previous year from the Bank B because I had to pay tractor rental, to improve living standards, and adding more plants to the farm. This was the last year as I am no longer within the age range to borrow money, says the bank. I am 63 years old.","Farm production_Income
Increased ability to save/increased savings_Increased ability to borrow
No longer paying school fees_Increased ability to save/increased savings
Increased knowledge; Relationships/gender_Improved household relationships
Income_Increased ability to save/increased savings
Increased ability to borrow_Able to buy farming equipment/materials"
64,"Produce more, sell more and able to have money.","Farm production_Income
Income_Increase purchasing power"
67,"We live well, and we do everything in a coordinated manner where we all participate in planning and together we are happy. Yes, there are and we decide what to plant, what to do, what to eat, what to buy, we decide everything in my kitchen and my wife solves everything. Many changes as a result of the teachings from Organisation 1 we have learnt that regardless of your gender you can do anything, we also learnt about good eating habits. I have no kids but I have always been a good father. Yes, these changes are good because children have the right to be taken care of.",Increased knowledge; Relationships/gender_Shared household decision-making
70,"Yes, it has changed our relations along with the relations with women. All because I am the community leader and we have been getting along overall. We work well, we have our gardens, and we also have group works. Here  many things have changed with help from Organisation 1, which has created many positive changes here as the Savings groups, Mothers group, all these efforts so there is changes within families and within the community. Yes, it has changed for the better as we are now more united and we make plans and we do everything so as these plans do go well, and our community as well.","Community groups/learning_Community works together
Community works together_Community development"
74,"Within the community and likewise within our house holds, our lives are changing for the better with the help from NGO's that transmit knowledge to us and as a result everything is changing for the better. In mental health, physical, emotional, and  spiritual health everything is well and this changes for the better for us.",Community groups/learning_Wellbeing
77,"Important link to Organisation 1 - Nutrition - eat well, grow healthy, healthy living and wellbeing","Increased knowledge; Nutrition_Increased knowledge; Nutrition
Increased knowledge; Nutrition_Improved health
Improved health_Wellbeing"
88,"Last year we produced quite a lot, but this year we harvest a bit more, I expanded areas of my plots and also increased crops (orange sweet potato) because I learned from the mothers group of Organisation 2 Project to introduce sweet potato. I accepted the learning because I aimed to have other crops to have increase earning income. Also had training from Organisation 2 on growing of crops. For example this year I had very little production of maize yet thanks to sweet potatoes we are surviving. We sell sweet potatoes to buy other things and others we utilize for our consumption. We had changes in the Agriculturel practice we started using the same lines but now with correct sizes for each crop. Also learned with mothers group to store food, before I did not use fertilizers or medicines on my crops to last longer; and after putting the medicines I place in  package. Before I would put the crops in the silo yet without medicines. This change was  a result from training held in the mothers group belonging to Organisation 2 Project. The use of fertilizers made positive changes as now products or seeds are stored longer without deteriorate easily.","Planted new crop/vegetable varieties_Farm production
Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Increased knowledge; Farming method/practice_Improved/new farming techniques; Cultivating in lines
Farm production_Produced enough food to eat and/or sell
Planted new crop/vegetable varieties_Farm production
Improved/new farming techniques; Cultivating in lines_Farm production
Produced enough food to eat and/or sell_Increase purchasing power
Farm production_Able to mitigate other crop failures and survive"
91,"Comparing to last year, I now don't only sell maize and millets, I also sell different products such as carrots, sweet potato, cabbage, cauliflower. I am starting  to have more money compared to previous years, this is due to the training held in the mothers group and seeds distributed by them. I was able to  have other sources of money yet the only inconvenient is the cost value for selling these products that sometimes is not worth it meaning that I could get more money. I sell a lower price that ends up not been much profitable but is better than nothing. We will see if this situation can change in the coming years by looking for new markets or increasing the selling price. Overall, I still say that I am getting more money than previous years.","Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Received new/improved seeds_Planted new crop/vegetable varieties
Planted new crop/vegetable varieties_Income"
93,After the learning held with mothers group I started producing more in bigger areas and theses contributed to have more food for consumption as well commercialization.,"Increased knowledge; Farming method/practice_Farm production
Farm production_Food consumption quantity"
94,"The way of eating changed significantly due to the training held by mothers group on the importance of diversifying food that we are following strictly. Also due to variety of products produced and money that I earn it has been possible to regularly diversify food without many challenges. Now I don't know, I could say that I now eat healthier and regular. Since the training on mothers group I started eating new things such as eggs and mixture of soya with peanuts and we eat like this in either abundant or hunger period. Besides eggs, start eating margarine and juices for consumption on day to day in my house. I start taking little wild products first because I consume little, before we eat a lot of it due to hunger. This year many wild food are getting rotten. Also this year wild products are getting rotten due to the raining held.","Increased knowledge; Nutrition_Increased knowledge; Nutrition
Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Increased knowledge; Nutrition_Diet improved; Diversified
Food consumption quantity_Diet improved; Eating less wild foods
~Weather conditions; Too much rain_Wild foods rotting
Increased knowledge; Nutrition_Diet improved; Diversified
Planted new crop/vegetable varieties_Farm production
Farm production_Diet improved; Diversified"
96,Due to the lower area that I am exploring now and also rain helped me quite much to obtain good production.,"Weather conditions; Enough rain_Farm production
Farm production_Food consumption quantity"
101,"As a result of the training held in mothers group, we were able to increase the types of food and the quantities increased. We now have more meals and with variety. Babies ages 6 months to 2 years not only  get feeding by breastmilk yet now also eat enriched porridge and smashed potatoes. Before we only gave  babies enriched porridge after a month life and babies had difficulties in their growing but today is different as we can see the babies growing. In the morning babies eat enriched porridge and adults sweet potatoes giving them healthier life.  All have the same treatment, some eat porridge and other sweet potato. As well as that they eat other things but we reinforce more often giving soups and porridges to babies because they are not heavy meals. Women breastfeeding and those pregnant live with 3 meals and at times more than 3 meals.  These changed after the training held on mothers group and some explanation from the hospital. We are now eating properly and we have broken the taboo that says women breastfeeding cannot eat an egg. These changes are good as we can see healthier and beautiful babies.","Increased knowledge; Nutrition_Diet improved; Diversified
Increased knowledge; Nutrition_Food consumption quantity
Increased knowledge; Nutrition_Diet improved; Enriched porridge refers:infants
Increased knowledge; Nutrition_Diet improved; Increased number of meals refers:Pregnancy
Increased knowledge; Nutrition_Diet improved; Increased number of meals refers:Pregnancy
Increased knowledge; Nutrition_Broken taboo
Diet improved; Diversified_Improved health
Food consumption quantity_Improved health
Diet improved; Enriched porridge refers:infants_Improved health refers:infants
Diet improved; Increased number of meals refers:Pregnancy_Improved health refers:infants
Diet improved; Increased number of meals refers:Pregnancy_Improved health refers:infants
Broken taboo_Improved health refers:infants"
103,The main reason was the learning held on mothers group about the importance of diversifying food and having more production to obtain productivity that would increase income and last to save more.,"Increased knowledge; Nutrition_Farm production
Farm production_Income
Farm production_Able to save/store food
Income_Diet improved; Diversified refers:infants
Able to save/store food_Diet improved; Diversified refers:infants"
105,The main reason was seeing women breastfeeding having good milk with more protein and pregnant women that gave birth to healthy babies due to good and balanced food eaten.,Observing changes in others_Diet improved; Diversified refers:Pregnancy
106,"The way of saving has changed, today I spend less because I am personally producing other products. I now don't buy as much basic need products at the market. Last year we bought 4 goats. Myself and my husband we decide on how to spend money, even though he has been far away (in a different province), he takes decision and only for urgent matters such as going to the hospital or buying small things needed at home that I take the decision and later communicate him to be  aware of it. I save money at the mothers group with aim of helping me in this issue of my health as well to buy some things needed at home as well buying animals and Agriculturel input. And so far I have not made a loan, when the time for it comes I will do it. The observed changes are good because I am able to save money.","Increased knowledge; Farming method/practice_Farm production
Member of savings group_Increased ability to save/increased savings
Farm production_Spend less on basic needs
Increased ability to save/increased savings_Hope fur the future; Buy things for home/farm"
108,Because I increased my production and also we have money that my husband sends every month.,"Increased knowledge; Farming method/practice_Farm production
Farm production_Increase purchasing power
Receives money from husband/ex-husband_Increase purchasing power"
110,Because now I have knowledge from the mothers group on how to save money on how  to save money by shares and how to request for loans based on design presented to the group.,"Member of savings group_Increased knowledge; Finance
Increased knowledge; Finance_Change in gender relations; Women/wife more control over finances; Saving"
111,"The relationship changed when I joined the mothers group, my husband did not know other things concerning taking care of the household but he now does it well. It changed the communication with me and now I am also part of decision making. When he is around we divide the tasks, while taking care of the baby he does other task like helping in taking care of big children.","Increased knowledge; Relationships/gender_Shared household tasks
Increased knowledge; Relationships/gender_Shared household decision-making"
113,Due to the learning that I share with people at home and results seeing. We listen more and big solutions raise from any challenge faced.,"Increased knowledge; Relationships/gender_Shared learning with others
Shared learning with others_Improved household relationships"
114,"My relationship here at the community is good, we look to understand each other, now we work together . Before we work individually yet with the training in the mothers group we started working together and shared ideas. As a result of work together we supported with the Catholic church in the building of the nearby school for orphan children.","Community groups/learning_Community works together
Community works together_Community development"
118,"Good relationship and environment, good diversity of food. Although that I am not very well but other members of my household are very healthy.","Diet improved; Diversified_Improved health
Improved health_Wellbeing"
120,"If the family / household has good relationship and good feeding I don't see the reason of things not going well. Today we have healthier kids, I don't take them much to the hospital, I increased my production and live based on adopting hygiene practice that contributes much to the well being of my household.","Increased knowledge; Health and hygiene practices_Health behaviour
Health behaviour_Wellbeing"
126,"About my health, I considered it normal because I did not get sick much compared to the last years; because we don't get sick much. Yet we get a bit sick theses days because of climate changes (a day gets very hot and the following day get cold or rains)  that usually bring flu, malaria, headache and anaemia to the all household. For such things, we have attended the health centre services to avoid getting worst. Also to avoid diseases, we eat many fruits such as oranges that contain vitamins, we knew about it before yet we did not practice just because of lack of habit, yet now with reinforcement from the staff at the health centre we have started adopting these practices. We do regular visits to the health centres taking our children for normal check ups. To improve my day to day health and keep good I eat peanut and soya that will serve as vitamins. In the case of hygiene, I have changed; now I use the toilet especially washing hands (previous I did not wash my hands), clean my yard, and wash the bathroom. These changes come as a result of training held by Organisation 2 started this January. We adopted to the changes because besides flu that we have because of climate changes, at the past we would constantly get sick of diarrhoea and cholera. For all these practices of eating healthy food and doing improved latrines we had with support of health technician as well with staff from Organisation 2. During some times I did not make use of some practices such as washing hands with soap and ash after using toilet but now I do it. Also now I have a place to throw trash away from my kids by opening pits.","~Weather conditions; Too much rain_~Improved health
Increased knowledge; Health and hygiene practices_Diet improved; Vitamin rich food
Increased knowledge; Health and hygiene practices_Regular health check ups refers:infants"
128,Changing feeding habits because of the reinforced messages received from the health centre staff and because climate changes we are not sure what next could come to us therefore we act in a more appropriate way avoid possible diseases. Changing the hygiene of the household and be more careful washing food products. These avoid and minimize the risk of being exposed to diseases.,"Increased knowledge; Health and hygiene practices_Health behaviour
Health behaviour_Improved health
Increased knowledge; Health and hygiene practices_Health behaviour; Wash food before cooking/eating
Health behaviour; Wash food before cooking/eating_Improved health"
129,"As for the plots for feeding and our income here in the house, this has changed compared to last year. Last year we produced more and had good consumption and also had good productivity but this season/year we produced little and had less productivity which was caused by raining that damaged and destroyed our production. As per quantities or type of crop it also changed because the income of last year was better than this year, this year I had to increase crops because the income was higher than last year. As per type of crops also changed  having increased the crops such as sweet potatoes (because sweet potatoes are tolerant to any climate change) to help households and other horticulture crops and cereals. As per animal breeding, I have animals and I have changed the quann  tidy of production, it increased because there was breeding by its reproduction. And I have also bought other animals to help in the reproduction. As per practice of agriculture, this did not change as this is the way we produce or practice. As per the way of storing, it has changed because the appropriate way of storing/conserve is placing products in the silos or put it in bags and place chemical products for conservation against rats/insects. I have changed crops because I felt the need to diversify Agriculturel production.","Planted new crop/vegetable varieties_Farm production
Purchased new livestock_Increased breeding of livestock/poultry
Increased breeding of livestock/poultry_Meat sales mitigated loss of crops"
131,Due to more productivity and improved cultivation practice.,Farm production_Food consumption quantity
135,"Relation to food eating, it changed as now we are eating other type of food like soya, peanuts to recover vitamins and have balanced dietary as advised at the health centre. As per what I am eating today it changed, today I am eating little due to the raining that destroyed all crops. But on other hand today I am eating new foods as advised by medical doctors, this advice came to improve or maintain balanced dietary. Because of the raining that destroyed all crops and thinking that we would sell whatever crop is left with us, the health service is worried that we will only eat one type of crop therefore to avoid it they have introduced mobilization campaigns telling us at the community leave to have diverse food. Now we eat sweet potatoes, soya and peanuts. As per processing or storing or conservation it changed a lot for better because the period of hunger is longer and we have to manage with the little we have. As per the quantity of food we buy from the market it changed but as much as last year because last year we bought more because we sold and we had money, now this season we don't have money because we do not produce much due to raining. As per the quantity of wild fruits we harvest a bit more because we are many in the community looking for it. The reason for many of us looking for it is due to lack of other products so we see wild fruits as alternative food.","Increased knowledge; Nutrition_Diet improved; Diversified
~Weather conditions; Too much rain_~Food consumption quantity"
137,Increase sowing and production of new and different types of crops.,"Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Planted new crop/vegetable varieties_Food consumption quantity"
139,I produced a lot and changed the type of food due to my health. Mentioned previously that climate changes might bring other diseases so to avoid it we are eating variety of food as learned by government health staff.,"Increased knowledge; Farming method/practice_Planted new crop/vegetable varieties
Planted new crop/vegetable varieties_Diet improved; Diversified"
141,Lack or insufficient money due to less productivity on plots that was caused by heavy raining.,~Ability to buy food_Less food in hungry season
142,"As per last year, here in the house it has changed because besides kids eating only food for adults they now eat specially food for kids such as enriched porridge that is prepared with soya and peanuts (The Organisation 2 project by group of mothers taught them the importance of and how to prepare enriched porridge). For babies under 6 months old  it did not change because we don't have babies at such age range on the other hand for babies ages 6 months to 2 years old it changed as now they eat more fruits like bananas, sweet potatoes and also they make three meals a day and other small snacks throughout the day. The types of  food for children more than years, they eat more porridge and more fruits its found at the community after harvest and this did not in our household as children still eat the same portion of food. As per number of meals we have three meals daily. Yes taboos of not eating eggs during pregnancy because children would be born without hair. There are changes because now pregnant women do eat eggs, even children do eat and nothing wrong occurs to them. People are not afraid of eating eggs because they learned, with time they starting seeing other people who were eating eggs but did not get sick or give birth to babies without hair therefore they realized that it was lying caused by people. That said they started eating eggs.","Increased knowledge; Nutrition_Diet improved; Enriched porridge refers:infants
Increased knowledge; Nutrition_Diet improved; Diversified refers:infants"
147,"The household spend sufficient and saved more, the household spend more on buying what is necessary. It saved more money because we had more food from our plots. Last year I was better in productivity yet this year things were not good because of raining season. We changed  the quantity and things we purchase because we buy less as we produce more. Here at home who decides in spending money is my husband the head of the household although sometimes we decide together. We save money by placing it at Bank C because it helps when we have other needs at home. As well I do community savings organized by the mothers group and learned from Organisation 2. As for loans we still haven't start doing. These changes are good because they help in saving and manage the little money we have.","Farm production_Less need to buy food
Member of savings group_Increased knowledge; Finance
Member of savings group_Increased knowledge; Finance
Less need to buy food_Increased ability to save/increased savings
Increased knowledge; Finance_Able to manage money
Increased knowledge; Finance_Increased ability to save/increased savings"
151,Because as we produce we purchase more seeds for increasing production as last year we had good productivity and we had to increase production,Farm production_Access more/better seeds
152,"In relation to relationship between male and female here at home it changed in the past years because we have  opening relationship, we carefully listen to one another, we share ideas. Relating to ideas about what to produce or not also changed because we see the type of crop according to what will give us money.",Change in gender relations_Improved household relationships
155,"The relationship between people in the community is good, we have good and mutual understanding, good behaviour towards one another and this makes us better people that are willing to socialise and live with other in peace. This was learned on the trainings held by some project staff from Organisation 2 on how to behave and live in better or peaceful environment. Consequently we now work together looking to have developed community and we teach our future mothers and fathers which are our children to do the same. If I learn new thing in the community from the extension officers/technicians from Organisation 2 we share amongst others to ensure good habits by the whole community therefore we leave in peace and being innovative.","Community groups/learning_Community works together
Community groups/learning_Shared learning with others
Community works together_Community development"
159,"Good relationship with my husband and other households members, sharing ideas.","Increased knowledge; Relationships/gender_Improved household relationships
Improved household relationships_Wellbeing"
167,"We have had some health problems, I had problems with my feet whilst the children has malaria. At the hospital they said that my feet problems were as a result of age and malaria as a result of mosquitoes. The children slept without mosquito nets as we have not received them in a while. With the lectures that we had regarding personal hygiene and regarding our yards with the exemplary mother's group from Organisation 2, we now become less sick as in comparison to previously. What I changed to keep myself healthy was my daily routine, I became more organized and always maintaining things clean. A practical example would be after using the toilet we never washed our hands but now I have access to a TIPTAP right on the exit of the toilet which I use to wash my hands. I stopped living without hygienic standards in place because of the lessons I had and because of the benefits of living with less chances of getting sick in my home. It was possible to see a general change in my family as a result of the raise in hygienic standards and well being.","Health behaviour_Improved health
Improved health_Wellbeing
Health behaviour; Live in clean environment_Improved health
Health behaviour; Wash hands; After using toilet_Improved health
Access to tap_Health behaviour; Wash hands; After using toilet"
169,"As a result of the lessons we had as for example: Toilet construction, use of TIPTAPs, sweeping the yard and digging litter into holes and also through washing foods before consumption. These lectures we all had in the community with the exemplary mother's group.","New toilets constructed_Improved health
Health behaviour; Live in clean environment_Improved health
Health behaviour; Use pits to dispose of rubbish_Improved health
Health behaviour; Wash food before cooking/eating_Improved health"
170,"I did not benefit quite as much in the farm as my production levels were low due to the lack of rain. I also had problems with bugs that found their way into my farm. I was not able to change a lot neither was I able to change the quantity, because I was scared it would rain as much. I lost everything due to the lack of rain, regarding livestock I only have chicken which has not risen in quantity because we sell them to be able to go to the hospital and grinder. Regarding the Agriculturel practices, I now plant in lines, which is more organized and recommended, I also started using the highest barn as I was taught by the group of the exemplary mothers and Organisation 7, I have no garden I only associate with others.","Unable to afford hospital fees_Sold livestock; To pay for basic needs
Increased knowledge; Farming method/practice_Improved/new farming techniques; Cultivating in lines"
173,"The only other way I earn money is through the association's farm, I now earn a different amount of money with agriculture because I now sell a bit. The quantity of agriculture produced is inferior to the amount produced in the past years and as a result I earn less than before. The little money I earn I use at the grinder and I buy soap.",Community groups/learning_Produced enough food to eat and/or sell
183,"We have learnt that there is a need to vary the meals, we should give every child their meal although it has become difficult to vary the meals as a result of low production levels, and not only because of low production but as a result of production going bad because of bugs and lack of rain. We feed babies from the age range of 0-6months only breast milk as we were taught by the groups and on the lectures we had from the hospital. We would previously give children any type of meal and we now see the difference (how they grow). I was also taking care of children whose ages range between 6months - to 2 years who I fed maize meal (baobab and other fruits) besides breast milk. These children only had a meal per day but this changed since we had the lectures from the groups as they now have three meals per day. I gave these children porridge that I mix with peanuts and drumsticks which I learnt from the groups of Organisation 2. We now look to provide three meals, as we only had two meals per day and we did not look god food with good vitamins, ever since the lessons we now see the importance. We no longer have taboos in my family we eat everything for example: Pregnant women did not eat eggs or otherwise our children would grow without hair which was undesirable and as a result we never ate. We now know that we were losing out on vitamins for a babies healthy growth. These changes are good because we are able to have healthy babies.","Increased knowledge; Nutrition_Increased knowledge; Nutrition
Increased knowledge; Nutrition_Broken taboo
Increased knowledge; Nutrition_Diet improved; Increased number of meals refers:Pregnancy
Increased knowledge; Nutrition_Diet improved; Enriched porridge refers:infants
Increased knowledge; Nutrition_Diet improved; Diversified refers:infants
Broken taboo_Improved health refers:infants
Broken taboo_Diet improved; Diversified refers:Pregnancy
Diet improved; Enriched porridge refers:infants_Improved health refers:infants
Diet improved; Diversified refers:infants_Improved health refers:infants"
188,"We now save more because of the lectures we had, regardless of the fact that we are going through a hard time that we are overcoming (low production and constant droughts). We now buy more as a result of low production. I am the person who decides how we spend money in the family along with my children, considering that my husband is no longer alive, as a result of the situation we are going through it is rather challenging to save money as we never ask for loans as I am not a member of the savings group, they do not lend to people who are non-participants as they are scare people may not return the funds. I wanted to borrow some money to start off a business, I will see later on how to do this. I am negotiating with them, how they can manage to lend me. Change is always good because it always helps in evolving people's lives within the community.",Increased knowledge; Finance_Increased ability to save/increased savings
