from,to,colour
Network Constraints,Bills: Network Costs,green
Electrification of heat and transport,"Smart flexible energy (Demand side response, storage, electric vehicles)",green
Electrification of heat and transport,Peak demand,green
Costs of Renewable Tech,Capacity of Renewable Energy Sources (MW),red
Carbon capture and storage,Tonnes of carbon emitted by energy production,red
New nuclear capacity,Diversity of the energy mix,green
"Renewable, thermo, and hydro generation (MWh)",Consumer energy bills,red
Carbon Price Support,Gas fuel prices vs coal,red
Number of gas plants,Gas capacity (gas available to GB market),green
Number of gas plants,Gas Domestic Production,green
Peak demand,Supply margin and reliability,red
Peak demand,Capacity Markets (procurement/ auction),green
"Instantaneous demand (continuous demand, energy kwh)",Electricity Systems Operability,green
Carbon Price Floor,Investment signalling for nuclear,green
Carbon Price Floor,Wholesale market prices,green
